Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-May-20,590.1,604.65,585.3,594.25,595.7264943,545049,8553,324700130,51018,9.36,19.35,4.15
20-May-20,604,611.7,588.65,594.05,598.3170653,1168387,19277,699065881,126677,10.84,23.05,-9.95
19-May-20,559,603,556.7,599.15,586.425531,2110314,30900,1237542008,228204,10.81,46.3,40.15
18-May-20,558,559.15,535.05,538.15,548.7952471,500496,8352,274669826,81267,16.24,24.1,-19.85
15-May-20,547.7,557,540,554.1,550.3073997,275729,4498,151735709,23123,8.39,17,6.4
14-May-20,551.5,562.55,535.05,539.65,547.1037605,309771,7652,169476879,54141,17.48,27.5,-11.85
13-May-20,569.85,569.85,549.4,555.75,556.8914769,458271,9491,255207214,93993,20.51,20.45,-14.1
12-May-20,535,563.7,531,559.65,549.5507314,598958,10062,329157807,68684,11.47,32.7,24.65
11-May-20,535,548.4,533,536.1,541.7971503,280942,5529,152213575,42379,15.08,15.4,1.1
08-May-20,539.85,545.85,528.5,530,538.7633479,312522,5730,168375399,29910,9.57,17.35,-9.85
07-May-20,546.8,546.8,524.6,527.8,533.4195964,327050,5634,174454879,80800,24.71,22.2,-19
06-May-20,533,551.35,530.8,546.05,541.6048279,726696,12042,393582062,73117,10.06,20.55,13.05
05-May-20,539.95,553.5,526.05,527.85,542.8846251,856677,14627,465076772,59413,6.94,27.45,-12.1
04-May-20,510,540.05,499,532.3,524.5596984,975688,16297,511806603,112331,11.51,41.05,22.3
30-Apr-20,503.7,515.8,495.65,514.35,505.1080397,434683,7993,219561878,113007,26,20.15,10.65
29-Apr-20,493.8,498.4,487.55,496.25,492.4963997,194428,4863,95755090,38236,19.67,10.85,2.45
28-Apr-20,497,497,484.05,485.7,490.2901488,1348453,4518,661133222,1157634,85.85,12.95,-11.3
27-Apr-20,499.5,502,491.7,494.55,498.5212526,337723,4537,168362093,192049,56.87,10.3,-4.95
24-Apr-20,494.05,499,484.75,494.35,491.6896135,191326,3640,94073007,19893,10.4,14.25,0.3
23-Apr-20,503.4,507.1,491.15,495.65,499.8015571,502996,3807,251398184,28134,5.59,15.95,-7.75
22-Apr-20,512.55,516,492.3,501.25,503.4215801,359609,7259,181034931,45365,12.62,23.7,-11.3
21-Apr-20,480,503.9,479,500.85,490.671597,377661,10697,185307526,121419,32.15,24.9,20.85
20-Apr-20,506.65,507,487.25,490.4,490.914683,478744,4769,235022459,245763,51.33,19.75,-16.25
17-Apr-20,513,513,498.4,502.25,504.080591,306709,5990,154606054,79520,25.93,14.6,-10.75
16-Apr-20,505,512.9,496.95,500.45,506.8841023,340093,7933,172387735,117862,34.66,15.95,-4.55
15-Apr-20,530,536,505.1,509.95,523.9021192,816687,20038,427864050,321292,39.34,30.9,-20.05
13-Apr-20,491,520.8,491,511.75,507.6204705,940396,15222,477364260,123961,13.18,29.8,20.75
09-Apr-20,468,492,468,489.05,481.1095719,260386,6063,125274197,24197,9.29,24,21.05
08-Apr-20,470.5,490.95,453.3,461.6,467.9059493,343102,7555,160539467,27420,7.99,37.65,-8.9
07-Apr-20,432,473.4,432,470.05,458.623257,613588,13923,281405727,192036,31.3,41.4,38.05
03-Apr-20,423,429.65,415.7,423.95,423.0826741,363451,7922,153769821,63077,17.36,13.95,0.95
01-Apr-20,443,443,412.6,421.1,424.117728,468249,7491,198592702,82642,17.65,30.4,-21.9
31-Mar-20,438,447,424.1,440.6,438.3282987,3585299,10138,1571538011,808133,22.54,22.9,2.6
30-Mar-20,448,449.25,427.45,429.25,432.1906125,720871,5594,311553679,540758,75.01,21.8,-18.75
27-Mar-20,475,475,437.45,448.9,449.9266029,1177417,11150,529751231,865364,73.5,37.55,-26.1
26-Mar-20,434,494.05,420.6,478,454.3799676,418641,9661,190222084,70283,16.79,73.45,44
25-Mar-20,400,437.8,400,429.75,423.8089192,209189,6086,88656164,28621,13.68,37.8,29.75
24-Mar-20,414,435.55,400.7,404.05,411.7743169,338869,6203,139537551,94751,27.96,34.85,-9.95
23-Mar-20,420,470,399.65,405.8,423.7098396,361986,10005,153377030,119446,33,70.35,-14.2
20-Mar-20,449.9,472.15,437,461.9,454.3281637,547681,13809,248826903,77397,14.13,35.15,12
19-Mar-20,410.2,451.35,381.05,444.9,431.479784,1189208,33106,513119211,542116,45.59,70.3,34.7
18-Mar-20,460,478.4,409.3,426.2,452.7238992,1518565,20811,687490668,722904,47.6,69.1,-33.8
17-Mar-20,464.65,480.7,444.4,454.1,468.8245379,595268,18973,279076245,211652,35.56,36.3,-10.55
16-Mar-20,480.7,492.6,456.6,464.65,471.5571988,531864,14823,250804298,134905,25.36,36,-16.05
13-Mar-20,432,511.4,419,494.2,476.3287479,575082,11159,273928089,99643,17.33,92.4,62.2
12-Mar-20,483,483,459.45,464.95,470.2646406,452629,9370,212855414,86600,19.13,23.55,-18.05
11-Mar-20,494.45,508.5,488.15,493.7,500.8127317,478287,13474,239532219,149522,31.26,20.35,-0.75
09-Mar-20,514.9,514.9,491.2,496.25,500.3622695,320372,9090,160302061,70069,21.87,23.7,-18.65
06-Mar-20,525,525,511.8,519.15,518.1146298,216750,3311,112301346,47304,21.82,13.2,-5.85
05-Mar-20,521,531,516.75,527.2,525.0172457,857081,5514,449982306,567398,66.2,14.25,6.2
04-Mar-20,523.85,532.7,507.75,516.7,520.1683924,318708,4599,165781828,27458,8.62,24.95,-7.15
03-Mar-20,524.9,533,514.5,521.2,523.1692471,262551,3780,137358609,34285,13.06,18.5,-3.7
02-Mar-20,534.15,535.95,512.2,518.55,528.1086499,314616,4837,166151431,42314,13.45,23.75,-15.6
28-Feb-20,528,528,513.5,524.05,521.4685179,271678,5541,141671524,37260,13.71,14.5,-3.95
27-Feb-20,535,536,526.85,531.8,530.540993,1097188,14738,582103211,108983,9.93,9.15,-3.2
26-Feb-20,535,539.5,520.45,536.45,528.7768107,533238,5420,281963889,288818,54.16,19.05,1.45
25-Feb-20,531,537.55,530.85,535.35,533.9702311,142800,4199,76250949,23160,16.22,6.7,4.35
24-Feb-20,543.9,543.9,527.05,529.8,534.3300399,190883,3345,101994521,31187,16.34,16.85,-14.1
20-Feb-20,542,552,538.5,545.5,545.6395436,287971,5087,157128365,32247,11.2,13.5,3.5
